utc_timestamp,DEU,ITA,CHE
2015-10-15,-3130.35576069468,-747.0404565719036,-261.5609255722659
2015-10-16,-3015.7777311313494,-880.2022113904653,-277.34495059268096
2015-10-17,-2869.7115430634785,-946.6422605112475,-270.68657176099487
2015-10-18,-2660.754932024899,-915.2042872658519,-248.63622317529752
2015-10-19,-2550.8927683601128,-884.2907475831876,-248.0359031753213
2015-10-20,-2529.2442331837733,-944.4692010031815,-258.7238930776765
2015-10-21,-2439.420714742123,-1029.0497292573775,-254.94200161475487
2015-10-22,-2253.1349721963566,-1088.3002879380908,-244.1771472638777
2015-10-23,-2102.807282082454,-1046.9156899772847,-213.84874796052026
2015-10-24,-2089.20580996399,-955.4023518744029,-179.05740066917858
2015-10-25,-1909.5924587828802,-840.30567905413,-156.96373036454833
2015-10-26,-1951.979749174816,-828.8256809835667,-160.64902056136947
2015-10-27,-2123.7292634957225,-864.8689667226993,-177.4737168788307
2015-10-28,-2203.2760817808903,-903.8032305275784,-178.67593336357413
2015-10-29,-2156.646790607102,-894.609421018296,-196.7943283969883
2015-10-30,-2153.2387130678985,-871.4677604426422,-191.1660369218179
2015-10-31,-2187.567222642987,-913.0786816906411,-186.40380674785712
2015-11-01,-2233.055183443098,-968.7562807805929,-188.75494457696496
2015-11-02,-2418.027053861568,-1029.3838936815469,-200.40472711911738
2015-11-03,-2631.285012810298,-1037.3148580187062,-204.71018974845882
2015-11-04,-2397.4104421116917,-961.0752154683322,-184.12839102346442
2015-11-05,-1994.9431279310288,-866.2267451076704,-169.96386686301685
2015-11-06,-1608.2182390320359,-794.3565378670176,-151.78745964162883
2015-11-07,-1179.969976122597,-742.8782245937825,-128.05258034766348
2015-11-08,-1157.2500713639924,-676.1608819315169,-112.57930385786956
2015-11-09,-1163.0782937377671,-710.7041034537591,-118.46651887968153
2015-11-10,-1270.504553672524,-723.5453293624653,-135.72164132029644
2015-11-11,-1563.4349077737872,-748.0164931783875,-159.75699851316102
2015-11-12,-1734.5605009306748,-792.1368231581647,-173.3340689960395
2015-11-13,-1880.3408123875417,-869.6555993638983,-182.08777170595445
2015-11-14,-2210.2285439718753,-953.950320369812,-202.79800272630663
2015-11-15,-1940.8052445917222,-999.9864164321066,-186.9572572374934
2015-11-16,-1862.9428243389598,-1014.6537262658651,-181.338946324376
2015-11-17,-1703.7787171711614,-1074.7506123165174,-180.85108693644187
2015-11-18,-1616.1121150574538,-1045.5205939754885,-173.86545829227873
2015-11-19,-1655.2857416556885,-1075.2797000666924,-177.78364375693624
2015-11-20,-2131.047518334287,-1069.62536698018,-174.72038576600127
2015-11-21,-2848.786541475929,-1165.468060273372,-254.13807072654237
2015-11-22,-3352.096073822053,-1474.5458963019792,-307.1497605384442
2015-11-23,-3709.3880563024036,-1702.5169433377328,-340.5289750640909
2015-11-24,-3969.3923338546865,-1846.488072619763,-362.35772316175854
2015-11-25,-3799.151089561689,-1972.8496324466519,-348.02663043236146
2015-11-26,-3668.7121515779154,-2000.7377176408763,-348.06312312094974
2015-11-27,-3782.0997655922192,-1991.3210470502602,-358.8045133138452
2015-11-28,-3719.0620033879136,-1991.001156348299,-360.33721036116265
2015-11-29,-3155.7369249397507,-1896.478260944395,-328.53007780981466
2015-11-30,-2748.024754117704,-1750.650444528689,-288.73862740522196
2015-12-01,-2567.8807491960933,-1623.810830709458,-271.36689429472165
2015-12-02,-2443.7365769368325,-1528.1016892193784,-261.80644209608863
2015-12-03,-2721.1264480707696,-1495.2951799049524,-267.9581187203361
2015-12-04,-2884.14282018658,-1523.6703503021706,-268.90028338462946
2015-12-05,-2959.3607790567366,-1531.7582706815615,-266.1841349301981
2015-12-06,-2705.56226213435,-1533.952088061169,-260.9162923961947
2015-12-07,-2525.5204660530444,-1559.2086308288121,-255.8145278652906
2015-12-08,-2686.5281831100565,-1555.0450438956393,-264.1970119877312
2015-12-09,-2837.972437639062,-1599.3872263323215,-273.25446626553924
2015-12-10,-3231.6697196981913,-1684.1816567005303,-295.9931889778827
2015-12-11,-3343.046025891551,-1807.8353618819372,-293.0733059202588
2015-12-12,-3112.282644134061,-1832.453996846948,-287.47444674898156
2015-12-13,-2967.5409218550767,-1774.3281052870611,-280.3878226016202
2015-12-14,-3067.6901883147157,-1759.8116359657968,-277.7225764216364
2015-12-15,-3073.1323390755697,-1784.4130958256446,-281.98302770501596
2015-12-16,-2777.536983563304,-1722.6831036743456,-258.2123737565151
2015-12-17,-2274.4944861821286,-1702.5929557861743,-236.42367796992426
2015-12-18,-2135.2994503002155,-1675.4742145298073,-225.99663659833084
2015-12-19,-2130.451415744076,-1595.0745384345807,-221.67395307812527
2015-12-20,-2177.728363194246,-1547.4953353600072,-222.3882088453343
2015-12-21,-2194.810065487232,-1546.8655909756474,-231.2670495955656
2015-12-22,-2141.5589898899675,-1548.0210641177132,-240.46589952209706
2015-12-23,-2221.9325175205613,-1550.311906697237,-242.53084867564291
2015-12-24,-2301.955310664201,-1611.0358322585284,-246.77305396360717
2015-12-25,-2315.05167428592,-1624.2943325240283,-242.53238196951727
2015-12-26,-2206.4050827196047,-1638.6722990632215,-243.26228222247667
2015-12-27,-2302.0606465905585,-1667.6707242443676,-238.0183281802104
2015-12-28,-2591.571628428117,-1715.0569289401283,-244.09912204162083
2015-12-29,-2942.8768171723855,-1798.6358439973699,-259.75177152711876
2015-12-30,-3228.525681733985,-1922.4126775553336,-279.77336986646344
2015-12-31,-3445.4299929883227,-2141.7389107303206,-289.01981718594146
2016-01-01,-3354.7259982769715,-2138.678334325822,-291.7754896305254
2016-01-02,-3597.840199612908,-2098.611602619108,-300.60482255124873
2016-01-03,-3726.59414617542,-2025.4703220501835,-299.60621995322174
2016-01-04,-3853.4386229716356,-2004.6851449133073,-306.828935367765
2016-01-05,-3952.5743235084497,-1958.9139003733667,-319.74813073072715
2016-01-06,-3994.4985245795096,-1979.9157386113293,-322.8455946167745
2016-01-07,-3903.3492327885133,-2001.8990027173,-319.4469228691717
2016-01-08,-3729.5496870443726,-1831.022825031033,-310.69482376781565
2016-01-09,-3638.7313945373835,-1675.1855270667586,-293.8939819676828
2016-01-10,-3339.7842172173355,-1528.2079660016216,-281.50062672087955
2016-01-11,-3277.093614714964,-1405.0914435477064,-282.4120969056454
2016-01-12,-3317.9980105761833,-1512.401156880047,-302.2002031352923
2016-01-13,-3408.961622087056,-1720.0794964127933,-335.4056249260998
2016-01-14,-3641.496322823634,-1931.5980695805474,-356.71553081672636
2016-01-15,-3826.6536212191395,-2034.3175722014983,-371.3677931001985
2016-01-16,-3990.5590425053065,-2236.2895398274427,-383.21809776916496
2016-01-17,-4161.435761411951,-2410.660353165275,-390.3285591857241
2016-01-18,-4510.122549180546,-2607.2448421164518,-420.2062370152275
2016-01-19,-4808.403405820956,-2705.1245999105263,-413.7753921716435
2016-01-20,-4695.68676154252,-2617.8918162547984,-396.31408381388246
2016-01-21,-4699.537317577601,-2496.915113920457,-404.14925919508045
2016-01-22,-4759.763068813367,-2403.962465033583,-393.54551717722114
2016-01-23,-4227.344070228899,-2305.881806784662,-358.10948089115266
2016-01-24,-3764.14762601299,-2160.621867438572,-325.92063638791353
2016-01-25,-3330.2753144926683,-2017.0243943802589,-290.9456292122797
2016-01-26,-3010.9164630032137,-1862.9094183889645,-277.66354130664524
2016-01-27,-2588.582765324637,-1716.2528453211842,-270.6223880534349
2016-01-28,-2666.276895465433,-1590.333189888509,-264.44845209583343
2016-01-29,-2855.434623141577,-1501.6580933254663,-269.15861807059554
2016-01-30,-2881.155216679152,-1498.2233474938855,-274.5481436470832
2016-01-31,-2946.6264345236277,-1427.434133171014,-259.3306305402415
2016-02-01,-2469.6578193383575,-1330.9842132259196,-236.58894139075497
2016-02-02,-2381.9426612997986,-1366.7317634823346,-240.7513146361429
2016-02-03,-2829.22497449896,-1447.3823012104401,-281.0795215552345
2016-02-04,-3158.675361616407,-1694.1481097943313,-308.0636304050715
2016-02-05,-3155.633778174975,-1811.2778002596183,-303.88913862906713
2016-02-06,-2909.9232050186024,-1864.9763159208733,-302.4582191550768
2016-02-07,-2723.9708874320518,-1758.1712303813365,-296.2248448200055
2016-02-08,-2602.8935897483025,-1634.1887231386518,-283.215781795402
2016-02-09,-2675.452978757099,-1575.807020908356,-276.9725933881641
2016-02-10,-3061.7322596016843,-1644.0427237831773,-318.284200611104
2016-02-11,-3264.2188655930404,-1818.4733991257253,-335.04726271071974
2016-02-12,-3512.70831126758,-1867.3942026352677,-341.7067604120441
2016-02-13,-3581.087386843229,-1782.1009081807333,-321.40712331005125
2016-02-14,-3422.7011296540086,-1682.081451828451,-308.2960534956559
2016-02-15,-3590.8301661843416,-1644.6152376559073,-322.624400690578
2016-02-16,-3957.644847605092,-1643.8271779334957,-343.7900640401331
2016-02-17,-4011.180642714085,-1695.163847040407,-349.9124250167346
2016-02-18,-3886.6588702603062,-1728.3942049113496,-342.2624667735586
2016-02-19,-3863.031277325333,-1737.6786601221872,-348.3708989886304
2016-02-20,-3558.6052942757506,-1799.8735694320012,-333.1487375478825
2016-02-21,-2695.925329886857,-1612.7751717668564,-270.2673714655649
2016-02-22,-2478.202591769085,-1468.8729805509254,-242.8913608485899
2016-02-23,-2906.3588386508686,-1383.6655320681937,-263.07418245414414
2016-02-24,-3274.434606095236,-1468.4507307665233,-293.21201853047654
2016-02-25,-3628.1029378273884,-1559.3744641856954,-313.29519722776973
2016-02-26,-3800.132879221812,-1680.6644139045754,-337.8730101895314
